category_name,position,id,name,description,brand,sku,mpn,price_ron,low_price_ron,high_price_ron,currency,availability,image_url,product_url,shop_name,city,category_url
Scaune birou,,,"Scaun birou ergonomic Golf LX, rotativ, imitatie piele 3528, maro",,,,,259.0,,299.0,RON,,https://cdn.dedeman.ro/media/catalog/product/8/0/8003845_11_1.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-ergonomic-golf-lx-rotativ-imitatie-piele-3528-maro/p/8003845,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou operational Erol, rotativ, material textil, gri",,,,,449.01,,578.99,RON,,https://cdn.dedeman.ro/media/catalog/product/8/0/8097981_1.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-operational-erol-rotativ-material-textil-gri/p/8097981,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou ergonomic Golf, rotativ, stofa C06, albastru deschis",,,,,229.0,,259.0,RON,,https://cdn.dedeman.ro/media/catalog/product/8/0/8027305.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-ergonomic-golf-rotativ-stofa-c06-albastru-deschis/p/8027305,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou directorial Riva T, rotativ, stofa C11, negru",,,,,379.0,,448.99,RON,,https://cdn.dedeman.ro/media/catalog/product/8/0/8006846_8.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-directorial-riva-t-rotativ-stofa-c11-negru/p/8006846,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou ergonomic Ramiza, rotativ, material textil, gri",,,,,219.0,,279.0,RON,,https://cdn.dedeman.ro/media/catalog/product/8/0/8097985.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-ergonomic-ramiza-rotativ-material-textil-gri/p/8097985,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou ergonomic cu suport lombar Blanca 1600, rotativ, textil + mesh, alb + negru",,,,,399.0,,479.0,RON,,https://cdn.dedeman.ro/media/catalog/product/8/0/8078001_2.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-ergonomic-cu-suport-lombar-blanca-1600-rotativ-textil-mesh-alb-negru/p/8078001,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun gaming cu perna lombara si perna cervicala Bellem, rotativ, imitatie piele, negru + portocaliu",,,,,649.0,,899.0,RON,,https://cdn.dedeman.ro/media/catalog/product/8/0/8065739_bellem.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-gaming-cu-perna-lombara-si-perna-cervicala-bellem-rotativ-imitatie-piele-negru-portocaliu/p/8065739,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou directorial US134 Aria, material textil, gri deschis",,,,,699.0,,779.0,RON,,https://cdn.dedeman.ro/media/catalog/product/8/1/8121549_1.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-directorial-us134-aria-material-textil-gri-deschis/p/8121549,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou directorial US134 Aria, material textil, bej",,,,,699.0,,779.0,RON,,https://cdn.dedeman.ro/media/catalog/product/8/1/8121550_1.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-directorial-us134-aria-material-textil-bej/p/8121550,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou ergonomic Felix Syn, rotativ, textil E14, negru",,,,,529.0,,628.99,RON,,https://cdn.dedeman.ro/media/catalog/product/s/c/scaun_de_birou_felix_syn_3_.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-ergonomic-felix-syn-rotativ-textil-e14-negru/p/8075122,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou ergonomic cu suport lombar si tetiera Next PDH, rotativ, mesh + textil, negru + gri,1C",,,,,1099.01,,1299.0,RON,,https://cdn.dedeman.ro/media/catalog/product/s/c/scaun_de_birou_next_antares_romania_7_.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-ergonomic-cu-suport-lombar-si-tetiera-next-pdh-rotativ-mesh-textil-negru-gri-1c/p/8098583,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou ergonomic cu suport lombar si tetiera New Air, rotativ, textil E18, portocaliu",,,,,748.99,,899.0,RON,,https://cdn.dedeman.ro/media/catalog/product/8/0/8075106_4.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-ergonomic-cu-suport-lombar-si-tetiera-new-air-rotativ-textil-e18-portocaliu/p/8075106,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
